name
Big Big Restaurant
Big Delight Restaurant
Big Sweet Inc.
Big Sweet Take-Out
Big Tasty Take-Out
City Big Restaurant
City City Restaurant
City Kitchen Inc.
City Salty Inc.
City Salty Take-Out
City Tasty Restaurant
Delight Big Restaurant
Delight Goat Inc.
Delight Salty Restaurant
Fish City Restaurant
Fish Delight Restaurant
Goat Big Take-Out
Goat Salty Take-Out
Goat Sweet Inc.
Kitchen Tasty Inc.
Salty Big Take-Out
Salty Delight Take-Out
Salty Fish Take-Out
Salty Kitchen Restaurant
Salty Salty Restaurant
Sweet City Restaurant
Sweet Delight Take-Out
Sweet Kitchen Restaurant
Sweet Salty Take-Out
Tasty Delight Inc.
Tasty Goat Restaurant
Tasty Salty Restaurant
Tasty Sweet Inc.
